# source, executable, build_date-time, wall-clock, function, gnuc, elapsed, cores, itens
src/minas/minas.c,target/minas,Jul  5 2020 14:54:37,1593971677,readModel,10.1.0,6.200000e-04,1,100
src/minas/minas.c,target/minas,Jul  5 2020 14:54:37,1593971679,readExamples,10.1.0,1.992292e+00,1,653457
src/minas/minas.c,target/minas,Jul  5 2020 14:54:37,1593971686,MNS_minas_main,10.1.0,7.129422e+00,1,653457
src/minas/minas.c,target/minas,Jul  5 2020 14:59:20,1593971960,readModel,10.1.0,6.300000e-04,1,100
src/minas/minas.c,target/minas,Jul  5 2020 14:59:20,1593971962,readExamples,10.1.0,1.987942e+00,1,653457
src/minas/minas.c,target/minas,Jul  5 2020 14:59:20,1593971969,MNS_minas_main,10.1.0,6.851514e+00,1,653457
src/minas/minas.c,target/minas,Jul  5 2020 15:36:54,1593974215,readModel,10.1.0,6.180000e-04,1,100
src/minas/minas.c,target/minas,Jul  5 2020 15:36:54,1593974217,readExamples,10.1.0,1.830742e+00,1,653457
src/minas/minas.c,target/minas,Jul  5 2020 15:36:54,1593974223,MNS_minas_main,10.1.0,6.765616e+00,1,653457
src/minas/minas.c,target/minas,Jul  5 2020 16:05:49,1593975950,readModel,10.1.0,6.310000e-04,1,100
src/minas/minas.c,target/minas,Jul  5 2020 16:05:49,1593975952,readExamples,10.1.0,1.962163e+00,1,653457
src/minas/minas.c,target/minas,Jul  5 2020 16:05:49,1593975958,MNS_minas_main,10.1.0,6.867173e+00,1,653457
src/minas/minas.c,target/minas,Jul  6 2020 14:37:47,1594057067,readModel,10.1.0,6.170000e-04,1,100
src/minas/minas.c,target/minas,Jul  6 2020 14:37:47,1594057069,readExamples,10.1.0,1.946446e+00,1,653457
src/minas/minas.c,target/minas,Jul  6 2020 14:37:47,1594057076,MNS_minas_main,10.1.0,6.864926e+00,1,653457
src/minas/minas.c,target/minas,Jul  6 2020 14:46:28,1594057588,readModel,10.1.0,6.620000e-04,1,100
src/minas/minas.c,target/minas,Jul  6 2020 14:46:28,1594057590,readExamples,10.1.0,1.802658e+00,1,653457
src/minas/minas.c,target/minas,Jul  6 2020 14:46:28,1594057597,MNS_minas_main,10.1.0,6.664184e+00,1,653457
src/minas/minas.c,target/minas,Jul  6 2020 14:49:55,1594057796,readModel,10.1.0,6.430000e-04,1,100
src/minas/minas.c,target/minas,Jul  6 2020 14:49:55,1594057797,readExamples,10.1.0,1.785931e+00,1,653457
src/minas/minas.c,target/minas,Jul  6 2020 14:49:55,1594057804,MNS_minas_main,10.1.0,6.633403e+00,1,653457
src/minas/minas.c,target/minas,Jul  6 2020 14:51:12,1594057872,readModel,10.1.0,6.290000e-04,1,100
src/minas/minas.c,target/minas,Jul  6 2020 14:51:12,1594057874,readExamples,10.1.0,1.922471e+00,1,653457
src/minas/minas.c,target/minas,Jul  6 2020 14:51:12,1594057881,MNS_minas_main,10.1.0,6.832321e+00,1,653457
src/minas/minas.c,target/minas,Jul  6 2020 15:04:04,1594058645,readModel,10.1.0,1.073000e-03,1,100
src/minas/minas.c,target/minas,Jul  6 2020 15:04:04,1594058647,readExamples,10.1.0,1.997350e+00,1,653457
src/minas/minas.c,target/minas,Jul  6 2020 15:04:04,1594058654,MNS_minas_main,10.1.0,7.083598e+00,1,653457
src/minas/minas.c,target/minas,Jul  6 2020 15:06:03,1594058763,readModel,10.1.0,6.210000e-04,1,100
src/minas/minas.c,target/minas,Jul  6 2020 15:06:03,1594058765,readExamples,10.1.0,1.987519e+00,1,653457
src/minas/minas.c,target/minas,Jul  6 2020 15:06:03,1594058772,MNS_minas_main,10.1.0,6.815702e+00,1,653457
src/minas/minas.c,target/minas,Jul  6 2020 15:17:31,1594059451,readModel,10.1.0,6.260000e-04,1,100
src/minas/minas.c,target/minas,Jul  6 2020 15:17:31,1594059454,readExamples,10.1.0,1.989254e+00,1,653457
src/minas/minas.c,target/minas,Jul  6 2020 15:17:31,1594059460,MNS_minas_main,10.1.0,6.962072e+00,1,653457
